	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1060	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1061	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1062	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1063	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1064	NA	NA	NA	NA	NA	NA	NA
ASV_1065	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1066	NA	NA	NA	NA	NA	NA	NA
ASV_1067	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1068	k__Bacteria	 Proteobacteria	NA	NA	NA	NA	NA
ASV_1069	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1070	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	NA	NA	NA
ASV_1071	k__Bacteria	 Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	NA	NA
ASV_1072	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1073	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1074	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1075	k__Bacteria	NA	NA	NA	NA	NA	NA
ASV_1076	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
