	mouse01	mouse02	mouse03	mouse04	mouse05	mouse06	mouse07	mouse08	mouse09	mouse10	mouse11	mouse12	mouse13	mouse14	mouse15	mouse16	mouse17	mouse18	mouse19	mouse20	mouse21	mouse22	mouse23	mouse24	mouse25	mouse26	mouse27	mouse28	mouse29	mouse30	mouse31	mouse32	mouse33	mouse34	mouse35	mouse36	mouse37	mouse38	mouse39	mouse40	mouse41	mouse42	mouse43	mouse44	mouse45	mouse46	mouse48
ASV_403	1	3	2	0	1	0	1	0	1	1	1	1	8	3	1	2	5	3	1	0	2	12	2	1	1	0	1	1	0	0	2	0	0	3	3	1	0	1	0	2	0	0	0	0	0	0	0
ASV_404	1	1	0	0	0	1	0	0	0	1	2	0	1	0	0	0	1	0	1	5	0	3	0	0	7	0	4	4	3	4	5	2	3	0	0	0	3	0	0	0	2	0	3	0	9	1	0
ASV_405	0	0	1	0	1	1	1	5	2	0	3	1	0	5	1	0	1	1	0	1	1	0	1	0	0	6	2	5	1	3	0	0	7	1	0	0	0	3	0	0	0	10	1	0	2	0	0
ASV_406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	13	0	0	41	0	0	0	0	0	5	0	0	2	3	0	1	0	0
ASV_407	2	2	8	1	3	1	1	3	8	2	3	0	2	4	2	1	13	1	1	3	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_408	0	1	1	4	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	6	0	1	7	0	0	11	0	0	0	0	6	0	0	0	0	0	0	5	0	9	2
ASV_409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	12	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_410	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	1	5	17	7	0	0	0	0	0	25	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_411	2	0	5	0	0	0	0	1	4	0	4	2	1	5	5	1	2	1	5	1	5	1	4	0	5	0	2	0	0	1	0	0	0	2	2	1	0	0	0	0	0	1	0	0	1	0	1
ASV_412	3	2	0	5	8	2	3	8	5	3	4	2	2	0	0	2	0	0	0	1	3	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_413	0	0	3	1	1	0	0	1	1	1	0	0	1	0	3	0	0	1	3	2	3	2	0	2	1	6	0	0	0	9	0	1	4	2	2	0	1	0	0	1	2	0	0	9	0	0	1
ASV_414	3	4	1	2	0	1	2	2	0	0	3	4	1	4	0	0	1	1	1	2	4	2	0	0	0	0	2	7	3	1	1	2	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_415	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	3	0	1	3	8	8	0	0	0	3	0	27	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0
ASV_416	1	1	3	0	1	0	3	2	2	7	10	1	1	2	0	0	1	2	3	1	2	2	9	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0
ASV_417	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
ASV_418	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	59	0	0	0	0	0	0	0	0	0	0	0
ASV_419	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	1	7	1	0	19	0	0	0	4	1	0	0	0	1	0	0	0	2	0	1	17	0	1	0	2	0	0
ASV_420	0	0	13	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	9	11	1	3	9	6
ASV_421	0	2	4	1	4	1	2	0	3	5	4	2	2	0	0	1	0	0	2	0	1	1	10	1	0	0	1	2	2	0	0	0	4	0	4	1	0	2	0	0	0	0	0	0	0	0	0
ASV_422	0	0	1	1	0	0	0	0	2	1	0	1	0	0	1	2	0	0	0	0	2	2	0	0	1	0	0	1	0	0	1	5	9	0	8	0	3	1	2	2	3	2	5	0	3	2	0
ASV_423	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0	7	6	1	1	0	0	1	1	0	7	4	3	0	6	1	7	5	1
ASV_424	0	1	2	2	2	1	2	4	1	6	1	3	1	4	3	0	0	1	6	1	1	2	4	1	0	1	2	0	0	2	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1
ASV_425	2	2	1	0	3	2	4	1	2	2	3	2	0	1	0	0	6	3	4	2	2	0	7	1	0	0	0	0	0	1	3	0	0	0	3	0	0	1	0	1	0	0	2	0	0	0	0
ASV_426	4	0	1	1	5	1	0	3	3	1	8	0	0	0	1	3	0	0	0	6	4	2	8	1	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0
ASV_427	0	3	3	1	4	9	4	3	4	0	17	1	1	0	0	0	2	0	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_428	0	0	0	0	1	1	1	1	1	1	2	0	1	0	1	0	2	0	1	0	0	2	0	0	2	0	0	1	1	2	1	0	3	1	1	3	0	2	5	3	7	3	2	2	5	0	0
ASV_429	5	1	2	0	2	4	3	2	3	4	0	1	1	1	2	6	4	5	0	1	1	1	2	0	2	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_430	1	2	0	1	10	1	10	5	3	4	9	1	2	1	0	1	0	2	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_431	3	1	1	0	5	3	1	2	2	1	4	3	4	1	5	4	6	3	2	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_432	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	5	0	0	0	8	1	0	0	4	1	1	1	1	1	8	4	11	2	4	0	1
ASV_433	5	0	3	0	1	0	4	8	5	2	1	1	1	1	1	0	1	2	1	5	0	0	2	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	4	3	0	0	1	0	0	0	0
ASV_434	2	3	3	3	10	0	2	4	4	2	9	0	0	0	0	1	0	0	0	2	1	1	5	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_435	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	3	0	0	6	0	5	2	0	1	2	6	6	9	4	0	6	1	1
ASV_436	4	9	3	0	15	2	5	8	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_437	0	3	0	0	0	3	0	1	3	1	2	3	1	3	2	0	3	1	0	1	0	4	1	0	0	0	0	0	0	0	4	0	2	1	3	1	1	1	1	3	2	2	0	2	2	0	0
ASV_438	0	0	2	3	1	0	0	4	0	1	0	1	4	0	3	1	2	0	4	7	11	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV_439	0	0	0	0	0	0	5	0	0	0	0	4	4	0	2	15	1	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_440	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	4	0	1	0	2	2	3	1	0	2	5	0	3	2	2	1	0	0	2	2	3	3	4	1	1	3	0
ASV_441	2	4	0	4	5	4	3	7	5	0	6	1	2	1	0	1	0	4	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_442	1	3	1	1	1	0	0	2	3	4	1	2	0	3	0	0	4	0	0	0	4	1	1	1	1	0	1	1	0	0	1	0	0	3	4	0	0	1	2	2	3	1	1	0	1	0	0
ASV_443	0	1	2	2	0	2	0	0	0	2	0	2	1	5	0	0	2	0	2	2	2	1	1	0	0	2	2	3	2	7	2	0	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0
ASV_444	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	4	3	0	0	6	0	0	0	0	6	0	0	0	0	0	0	8	0	10	6
ASV_445	0	4	5	1	1	1	4	1	3	2	4	2	2	5	2	0	1	1	0	3	0	1	4	2	0	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ASV_446	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	38	1	3	1
ASV_447	4	1	3	2	2	4	5	6	6	4	5	0	2	0	0	0	0	2	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_448	1	4	1	1	2	0	0	4	3	3	3	1	5	0	1	7	4	4	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_449	0	1	1	1	1	1	0	0	2	1	0	0	2	2	0	0	2	3	2	3	3	0	2	0	3	0	0	0	1	8	0	0	2	0	1	0	0	2	0	0	1	1	2	5	1	0	0
ASV_450	1	1	3	1	7	6	2	3	4	3	2	2	1	0	4	0	0	0	4	0	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_451	5	7	5	1	5	0	1	3	10	2	5	1	1	0	1	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_452	1	2	1	2	3	2	0	0	8	0	1	1	5	0	1	2	6	3	4	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_453	0	1	2	2	0	1	1	0	3	4	2	0	1	3	4	0	0	2	1	0	3	1	0	0	1	1	3	0	0	0	4	0	0	2	1	0	0	2	4	1	3	0	0	0	0	0	0
ASV_454	1	0	0	1	1	1	0	1	0	4	0	2	0	2	3	1	3	2	0	0	2	3	1	1	0	0	0	0	0	1	3	1	1	5	0	0	0	6	2	1	0	0	1	0	0	3	0
ASV_455	0	0	0	0	0	3	1	0	0	0	1	1	1	0	0	2	0	0	2	0	1	0	0	0	2	2	2	3	0	3	1	1	6	1	0	1	0	5	0	2	1	0	4	1	2	2	1
ASV_456	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	5	3	1	0	0	0	0	2	4	4	8	0	2	3	1	5	2	0	3	0	1	1	0
ASV_457	2	0	1	1	0	4	0	1	3	4	3	2	0	1	0	0	1	2	0	1	1	2	0	0	2	1	1	1	0	4	2	0	1	1	2	2	0	0	1	2	0	0	1	1	0	0	1
ASV_458	0	1	0	0	0	0	0	1	0	3	2	1	0	1	1	0	1	1	1	1	3	0	1	0	3	5	1	3	0	4	0	1	1	4	1	0	1	2	2	0	0	3	0	3	0	0	0
ASV_459	2	1	1	0	4	0	1	0	0	0	5	1	8	0	2	2	3	1	1	0	1	2	3	1	0	1	0	0	0	0	0	0	0	0	6	0	0	2	1	2	0	0	0	0	1	0	0
ASV_460	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	39	0	0	1	5	0
ASV_461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_462	0	0	3	1	1	0	0	1	0	1	3	0	0	1	1	0	5	0	4	0	6	5	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	1	0	0	1	0	0	0	2
ASV_463	3	4	3	1	1	0	0	0	2	1	1	1	1	6	2	1	0	0	1	0	1	1	0	1	1	3	0	1	1	0	1	1	1	0	2	4	0	1	2	1	0	0	0	0	0	0	0
ASV_464	0	0	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0
ASV_465	1	0	1	0	1	0	0	1	0	1	1	0	0	2	1	0	3	0	0	1	3	0	0	0	2	0	1	2	0	1	4	0	1	1	1	5	3	0	1	0	1	1	3	1	4	2	0
ASV_466	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	4	0	5	1	0	13	2	1	0	1	2	3	2	0	0	5	0	0	0	1
ASV_467	2	1	2	0	0	0	0	0	0	0	0	1	5	2	0	3	4	1	0	1	3	7	2	3	0	0	1	0	1	0	2	1	0	1	2	0	1	0	1	2	0	0	0	0	0	0	0
ASV_468	1	0	2	0	0	0	0	3	0	2	2	3	0	0	1	1	0	0	1	0	4	6	11	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV_469	1	1	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	4	0	4	1	2	1	0	1	3	3	3	0	8	0	4	1	0
ASV_470	0	3	1	0	0	0	2	1	0	1	5	0	1	0	0	3	0	1	0	2	0	1	0	0	4	1	1	1	0	2	0	1	3	0	5	2	0	1	1	0	2	0	1	0	1	1	0
ASV_471	10	0	0	0	0	0	0	19	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_472	1	0	1	0	0	0	0	0	2	2	0	1	3	0	1	0	1	1	0	1	2	1	0	1	3	1	1	4	1	4	0	0	3	1	1	0	1	2	0	0	1	4	0	1	1	0	0
ASV_473	0	0	1	1	3	0	0	1	5	2	1	0	2	2	0	0	1	3	0	2	3	0	0	0	1	0	3	0	0	0	3	0	0	0	5	5	0	0	0	0	3	0	0	0	0	0	0
ASV_474	0	2	0	1	1	0	1	1	0	0	2	1	0	0	0	0	1	1	1	0	2	0	1	0	16	0	1	0	2	0	0	0	1	1	5	2	0	1	1	0	1	0	1	0	0	0	0
ASV_475	0	1	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	9	8	2	0	5	0	2	0	1	1	1	1	0	3	0	1	0	0
ASV_476	0	0	4	0	1	3	6	0	1	0	1	1	1	2	6	1	1	0	3	1	0	3	2	1	0	0	1	0	0	0	2	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0
ASV_477	0	1	0	1	3	2	2	0	2	3	2	2	2	0	0	0	1	3	0	0	1	0	0	2	0	0	0	0	1	3	0	0	3	0	0	1	0	4	0	0	0	0	0	7	0	0	1
ASV_478	0	3	0	0	3	0	3	3	2	0	1	2	1	0	1	0	0	0	0	3	0	0	2	1	0	0	0	0	1	3	0	0	12	0	0	1	0	0	0	0	0	0	0	3	0	0	2
ASV_479	2	2	1	1	4	1	2	2	6	0	1	3	3	1	1	0	4	2	2	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_480	2	0	5	0	1	0	0	3	10	0	14	0	0	0	0	6	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_481	0	1	0	1	1	0	1	0	3	1	0	0	0	3	1	0	1	0	0	0	0	3	1	0	1	0	1	2	1	9	1	0	0	0	2	0	1	2	6	0	1	0	0	1	0	0	1
ASV_482	1	2	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	2	0	1	0	1	0	0	0	0	2	3	3	6	1	5	0	3	1	2	1	1
ASV_483	0	0	1	0	0	5	1	3	0	4	11	1	2	2	0	0	0	1	0	4	7	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_484	3	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	7	0	2	0	1	0	4	8	4	3	3	3	0	1	0	0	1	0	0	0	0	0	0
ASV_485	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	4	0	2	1	2	7	0	3	2	2	0	3	0	0	0	0	0	1	3	0	6	0	0
ASV_486	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	7	2	2	4	4	1
ASV_487	1	1	2	0	0	1	2	1	0	1	5	1	1	2	1	1	2	1	0	2	0	1	2	3	1	1	1	0	0	0	1	2	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0
ASV_488	2	1	1	4	6	0	2	2	1	1	3	0	2	0	0	2	1	1	2	1	0	1	4	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ASV_489	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	21	0	2	6
ASV_490	2	1	0	1	3	3	0	0	0	0	1	1	1	1	0	0	1	1	1	0	3	2	9	2	0	0	0	0	0	0	0	1	0	0	1	3	2	0	0	0	0	0	2	0	1	1	0
ASV_491	7	1	1	1	4	2	1	2	2	1	2	1	0	3	0	0	7	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_492	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	10	1	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ASV_493	7	1	10	1	2	0	0	5	2	0	3	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0
ASV_494	0	1	1	0	1	2	3	1	0	1	3	0	1	1	3	3	5	0	2	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	3	1	0	0	0
ASV_495	2	1	4	2	0	3	2	2	5	0	4	2	1	0	0	6	1	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_496	0	1	1	1	2	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0
ASV_497	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	2	3	1	0	0	1	0	0	1	1	3	3	1	4	2	2	0	2	0	2	2	1	1	1	2	1	1	0
ASV_498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	0	0	0	1	0	0	2	8	2	5	3	1	0	0	0	4	0	3	0	0	1	4
ASV_499	4	1	1	1	1	0	0	1	1	3	0	2	1	1	0	0	2	1	1	0	2	1	2	0	0	1	1	0	0	0	1	0	1	2	3	0	0	0	0	2	1	1	0	0	0	2	0
ASV_500	0	1	3	0	2	3	0	3	0	1	1	0	1	2	0	1	0	0	3	0	3	2	3	3	0	0	0	0	1	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0
ASV_501	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	1	0	0
ASV_502	0	1	0	0	1	0	2	4	3	1	1	0	4	1	0	1	3	1	0	1	3	2	2	0	1	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0
ASV_503	0	0	0	0	0	2	0	1	2	1	0	0	0	1	1	1	0	0	1	0	1	5	2	0	10	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0
ASV_504	0	0	0	0	1	0	1	2	1	1	0	0	0	2	2	0	1	2	0	0	3	1	0	0	0	1	0	0	1	2	3	1	0	4	0	0	0	1	0	0	1	0	1	3	2	2	0
ASV_505	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	2	0	2	5	1	0	0	1	3	0	0	2	0	0	1	4	1	7	1
ASV_506	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	18	0	2	2	0	0	0	0	0	0	1	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0
ASV_507	2	0	0	0	0	1	2	2	0	0	4	0	0	0	2	0	0	1	0	0	1	0	0	0	2	0	2	0	0	0	3	0	1	0	0	2	0	1	1	1	0	0	7	2	1	0	0
ASV_508	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	1	0	0	4	0	1	0	0	1	3	1	0	1	1	3	0	1	5	0	3	1	0	1	3	0	0
ASV_509	0	3	3	1	3	4	0	4	4	3	3	0	4	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_510	0	5	1	0	4	0	0	0	6	4	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_511	0	0	1	0	1	2	2	2	2	1	2	1	1	0	0	2	0	0	0	4	7	2	4	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_512	3	1	3	1	0	1	1	2	1	0	1	0	0	5	1	0	1	1	5	0	0	3	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ASV_513	0	2	3	0	1	1	2	1	2	2	2	3	1	4	1	1	0	0	1	0	0	1	3	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
ASV_514	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ASV_515	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	5	10	0	1	6	0	2	4	0
ASV_516	1	2	0	1	3	1	0	2	1	6	1	1	2	2	5	1	2	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_517	4	2	1	2	1	0	2	8	3	0	2	1	0	0	1	0	1	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_518	4	1	2	2	3	5	0	0	9	3	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_519	0	2	0	2	2	3	0	1	1	0	2	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	1	1	2	0	5	0	0
ASV_520	0	1	2	0	1	2	1	4	4	0	1	2	0	1	4	4	0	0	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ASV_521	0	0	23	0	0	6	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_522	0	0	3	0	2	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	4	0	1	0	3	2	3	0	2	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0
ASV_523	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	3	0	3	2	2	1	0	0	0	1	3	2	0	1	1	1	2	0	1	1	2	0	0
ASV_524	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	3	0	3	7	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	2	3
ASV_525	0	3	1	0	3	5	1	2	8	1	1	1	2	1	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_526	0	0	7	1	5	1	3	1	1	0	7	0	1	1	2	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_527	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	2	0	0	0	2	1	6	9	0	0	1	1	2	0	1	0	0	2	0	0
ASV_528	0	0	0	0	1	0	0	1	0	7	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	3	0	0	0	4	0	1	1	0	0	1	1	0	3	0	0	2	2	0	2	0	0
ASV_529	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	7	0	0	2	0	0	0	0	4	0	0	0	0	0	0	4	0	6	2
ASV_530	0	1	1	0	1	0	0	1	1	6	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	1	1	0	2	1	3	0	0	0	4	1	1	0	0	0	2	0	0
ASV_531	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
ASV_532	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	2	1	3	0	0	0	0	2	3	0
ASV_533	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	1	0	1	0	0	0	4	4	2	4	0	0	2	1	5	0	0	2	0	0	1	0
ASV_534	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	1	1	0	0	0	0	1	3	5	0	0	1	1	3	2	2	4	0	4	0	0
ASV_535	4	0	4	0	0	10	0	13	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_536	0	0	30	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_537	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	2	1	8	2	2	2	0
ASV_538	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	5	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	12	0	4	1	1	0	0
ASV_539	1	1	0	0	3	0	0	0	1	0	1	0	5	0	0	2	2	1	0	1	2	2	4	0	3	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
